Time;channel_11;channel_12;channel_13;channel_14;channel_15;channel_16;channel_17;channel_18;channel_19;channel_20;channel_21;channel_22;channel_23;channel_24;channel_25;channel_26
2016-08-08T17:51:15.444Z;-79;-90;-96;-95;-97;-101;-96;-94;-91;-101;-95;-97;-96;-99;-98;-99
2016-08-08T17:51:18.093Z;-70;-78;-84;-89;-93;-96;-97;-95;-89;-97;-92;-97;-97;-98;-101;-101
2016-08-08T17:51:20.741Z;-70;-92;-84;-82;-97;-90;-85;-97;-97;-99;-97;-96;-95;-100;-101;-101
2016-08-08T17:51:23.390Z;-73;-98;-94;-96;-94;-99;-97;-98;-86;-98;-98;-100;-98;-96;-99;-98
2016-08-08T17:51:26.039Z;-71;-86;-88;-91;-97;-98;-95;-97;-96;-101;-99;-96;-97;-97;-100;-100
2016-08-08T17:51:28.687Z;-71;-87;-70;-88;-89;-98;-94;-82;-98;-100;-97;-96;-95;-96;-100;-100
2016-08-08T17:51:31.335Z;-74;-85;-89;-93;-93;-92;-89;-99;-97;-99;-95;-94;-99;-100;-100;-93
2016-08-08T17:51:33.984Z;-70;-82;-85;-93;-98;-94;-97;-99;-98;-101;-89;-96;-92;-97;-102;-100
2016-08-08T17:51:36.632Z;-74;-86;-90;-90;-86;-95;-95;-91;-96;-101;-96;-93;-92;-95;-100;-97
2016-08-08T17:51:39.280Z;-76;-75;-56;-80;-87;-97;-99;-97;-98;-100;-97;-96;-99;-99;-101;-95
2016-08-08T17:51:41.930Z;-81;-100;-91;-97;-97;-86;-95;-98;-96;-101;-98;-94;-94;-100;-101;-95
2016-08-08T17:51:44.577Z;-73;-65;-79;-93;-92;-93;-98;-99;-88;-99;-98;-98;-95;-98;-99;-97
